@relation USER50_CURRENT_ATTRIBUTES_ONLY_Q57_28.02.2015.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C33-L3-3-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last

@attribute klind_en {administrator,other,parent,pupil,student,'teacher ucha.se',teacher}
@attribute has_personal_info_1_q2b_111 {0,1}
@attribute months_between_first_and_last_accessed_resource numeric
@attribute grade_calculated_from_user_data {0,1,2,3,4,5,6,7,8,9,10,11,12}
@attribute most_watched_subject_name_in_english {'',Biology,Bulgarian,Chemistry,'English Beginners','English Intermediate',Environment,Fun,Geography,German,History,'Home land',Literature,Math,Music,'Person and nature','Person and society',Physics,Programming,Spanish}
@attribute most_watched_subject_id {0,26,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,45,46,47,48}
@attribute one_of_the_fav_subjects_entered_by_the_user_in_english {'',Biology,Bulgarian,Chemistry,'English Beginners','English Intermediate',Environment,French,Fun,Geography,German,History,'Home land',Literature,Math,Music,'Person and nature','Person and society',Physics,Programming,Spanish}
@attribute number_of_distinct_accessed_subjects numeric
@attribute total_time_watched_videos_in_seconds numeric
@attribute total_number_of_exercises_attempts numeric
@attribute number_of_distinct_exercises numeric
@attribute number_of_all_accessed_resources numeric
@attribute percent_videos_completed numeric
@attribute percent_exercises_completed_with_75_points_or_more numeric
@attribute total_number_of_user_comments numeric
@attribute type_id_of_first_subscription {1,2,3,4,5,6,7,9,10,11}
@attribute type_name_of_first_subscription {'','1 month','12 months','15 days','3 days','3 months','6 months'}
@attribute percent_played____10s__videos_also_exercised_on numeric
@attribute percent_exercises_retaken numeric
@attribute percent_of_distinct_exercises_which_were_retaken numeric
@attribute number_of_distinct_accessed_grades numeric
@attribute percent_video_watched_more_than_once numeric
@attribute percent_distinct_video_watched_more_than_once numeric
@attribute percent_distinct_played____10s__videos_also_commented_om numeric
@attribute young_leader_badge {0,1}
@attribute motivation_level {0,1,2,3,4,5,6}
@attribute leadership_level {0,1,2,3,4,5,6}
@attribute leadership_1___number_of_user_comments_with_rating___3 numeric
@attribute charisma {0,1,2,3,4,6}
@attribute number_invited_friends numeric
@attribute influence {0,1,2,3,4,5,6}
@attribute class {no,yes}

@data
parent,0,4,6,'Person and nature',39,'',4,2317,0,0,9,11,0,1,3,'3 months',0,0,0,5,22,13,12,1,1,0,0,0,0,0,no
other,0,1,0,'English Intermediate',30,'',3,16830,0,0,36,19,0,0,2,'1 month',0,0,0,3,19,9,0,0,1,0,0,0,0,0,no
parent,0,0,5,Math,28,'',1,1089,0,0,4,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,6,'Person and nature',39,'',4,15876,0,0,35,86,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
parent,0,9,0,'English Beginners',40,'',11,94098,26,21,269,48,12,2,3,'3 months',10,35,19,10,51,26,1,1,2,0,0,0,0,0,yes
pupil,0,0,0,Physics,31,'',1,2532,0,0,7,57,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,6,History,34,'',4,1237,0,0,7,0,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,0,6,1,Chemistry,26,'',7,3896,0,0,13,15,0,0,1,'3 days',0,0,0,4,0,0,0,0,2,0,0,0,0,0,no
student,0,1,1,German,41,'',1,1979,0,0,6,17,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,0,6,Math,28,'',1,971,0,0,2,50,0,1,1,'3 days',0,0,0,1,0,0,50,0,1,0,1,0,0,0,no
pupil,0,9,6,Bulgarian,36,'',3,5849,0,0,19,11,0,0,2,'1 month',0,0,0,3,26,13,0,1,1,0,0,0,0,0,no
pupil,0,0,9,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,1,0,0,0,0,0,no
pupil,0,0,7,Chemistry,26,'',1,547,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,8,Math,28,'',1,185,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,0,8,Math,28,'',1,2242,0,0,5,80,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,6,History,34,'',1,6377,0,0,23,39,0,5,1,'3 days',0,0,0,1,17,10,9,0,1,0,1,0,0,0,no
pupil,0,1,0,Math,28,'',2,3661,0,0,10,20,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,1,no
pupil,0,1,0,Chemistry,26,'',1,2109,0,0,3,100,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,9,History,34,'',4,4685,0,0,15,60,0,0,2,'1 month',0,0,0,2,53,36,0,0,1,0,0,0,0,0,no
pupil,0,1,8,Math,28,'',1,3349,0,0,9,11,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,0,Physics,31,'',1,1849,0,0,3,100,0,0,2,'1 month',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Fun,29,'',2,3287,0,0,6,50,0,0,2,'1 month',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
teacher,0,0,3,'English Beginners',40,'',2,195,0,0,2,0,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,0,Chemistry,26,'',1,2209,0,0,5,20,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,6,Math,28,'',1,2696,0,0,10,50,0,0,1,'3 days',0,0,0,1,40,25,0,0,1,0,0,0,0,0,no
pupil,0,4,3,Bulgarian,36,'',4,3336,0,0,13,23,0,0,2,'1 month',0,0,0,2,31,18,0,0,1,0,0,0,0,0,no
pupil,0,4,7,Math,28,'',5,9371,0,0,27,26,0,0,1,'3 days',0,0,0,4,0,0,0,0,1,0,0,0,0,0,no
student,1,8,9,Math,28,'',7,46114,0,0,110,67,0,2,1,'3 days',0,0,0,9,19,10,1,1,2,0,0,1,1,0,no
pupil,0,1,8,Math,28,'',1,6297,0,0,18,44,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
student,0,1,0,Bulgarian,36,'',2,5925,0,0,22,14,0,0,2,'1 month',0,0,0,4,9,5,0,0,1,0,0,1,1,0,no
student,0,6,1,German,41,'',3,23941,0,0,87,31,0,0,2,'1 month',0,0,0,3,56,34,0,0,1,0,0,0,0,0,yes
other,0,3,4,Chemistry,26,'',3,13512,0,0,24,79,0,5,1,'3 days',0,0,0,5,0,0,16,0,3,0,0,0,0,0,no
pupil,1,6,7,History,34,Chemistry,5,16148,22,16,92,29,59,9,9,'15 days',18,41,19,3,31,14,8,1,2,0,0,0,0,0,yes
pupil,0,1,1,Chemistry,26,'',1,2158,0,0,5,0,0,0,1,'3 days',0,0,0,3,0,0,0,0,1,0,0,0,0,0,no
parent,0,9,9,Chemistry,26,'',2,7935,0,0,16,63,0,0,2,'1 month',0,0,0,3,19,7,0,0,2,0,0,0,0,0,yes
pupil,0,0,9,Math,28,'',1,1189,0,0,2,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,1,9,7,History,34,German,13,39302,12,6,139,47,50,5,1,'3 days',6,75,50,6,47,29,1,1,2,0,0,0,0,1,yes
pupil,0,0,6,Math,28,'',1,700,0,0,3,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Chemistry,26,'',1,2676,0,0,9,22,0,0,2,'1 month',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,0,0,6,Geography,37,'',1,1674,0,0,5,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,0,Chemistry,26,'',1,1740,0,0,2,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Chemistry,26,'',3,7391,0,0,17,24,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,8,Math,28,'',1,3217,0,0,8,38,0,0,1,'3 days',0,0,0,1,25,14,0,0,1,0,0,0,0,0,no
pupil,0,9,9,Math,28,'English Intermediate',4,11210,0,0,27,56,0,0,2,'1 month',0,0,0,4,15,8,0,1,1,0,0,0,0,0,yes
pupil,0,1,2,German,41,'',1,11905,0,0,23,74,0,0,2,'1 month',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,6,Math,28,'',2,3357,0,0,8,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,1,no
pupil,0,1,9,Geography,37,'',2,3675,0,0,15,27,0,0,1,'3 days',0,0,0,1,27,15,0,0,0,0,0,0,0,0,no
parent,0,1,0,Math,28,'',2,4073,0,0,11,36,0,0,2,'1 month',0,0,0,3,18,10,0,0,1,0,0,0,0,0,no
parent,0,1,5,Geography,37,'',1,457,0,0,2,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,6,History,34,'',6,3058,0,0,11,55,0,0,3,'3 months',0,0,0,3,0,0,0,1,1,0,0,0,0,0,no
pupil,0,1,0,Biology,32,'',2,742,0,0,2,0,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,0,6,7,Chemistry,26,'',2,42226,0,0,88,45,0,14,3,'3 months',0,0,0,3,7,4,4,1,1,0,0,0,0,0,no
pupil,0,1,9,Chemistry,26,'',1,1356,0,0,3,33,0,0,2,'1 month',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
student,0,1,0,Biology,32,'',4,13938,0,0,30,40,0,0,2,'1 month',0,0,0,4,37,21,0,0,1,0,0,0,0,0,no
pupil,0,0,9,Math,28,'',1,335,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,0,Chemistry,26,'',1,2271,0,0,6,17,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,9,6,Bulgarian,36,'',2,2338,0,0,5,80,0,1,2,'1 month',0,0,0,2,60,33,33,0,1,0,0,0,0,0,no
parent,1,4,1,'English Beginners',40,'',4,18084,0,0,48,75,0,0,3,'3 months',0,0,0,5,38,21,0,1,1,0,0,0,0,1,yes
pupil,0,1,6,Math,28,'',2,6449,0,0,16,50,0,1,1,'3 days',0,0,0,1,38,23,7,0,1,0,0,0,0,0,no
parent,0,7,6,History,34,'',3,11181,0,0,37,70,0,0,1,'3 days',0,0,0,2,46,29,0,0,1,0,0,0,0,0,no
other,0,6,0,Math,28,'',4,15907,0,0,31,68,0,0,2,'1 month',0,0,0,2,35,20,0,0,2,0,0,0,0,0,no
parent,0,9,1,German,41,'',6,92183,41,28,259,57,44,0,3,'3 months',27,54,32,8,80,54,0,1,3,0,0,0,0,0,yes
student,0,2,1,German,41,'',1,3221,0,0,7,100,0,0,2,'1 month',0,0,0,1,29,17,0,0,1,0,0,0,0,0,no
pupil,0,2,7,Physics,31,'',1,7074,0,0,18,61,0,1,2,'1 month',0,0,0,2,22,13,6,0,2,0,0,0,0,0,no
student,0,1,0,Geography,37,'',1,9901,0,0,35,31,0,0,1,'3 days',0,0,0,1,17,9,0,0,1,0,0,0,0,0,no
pupil,0,9,6,Geography,37,'',2,10666,0,0,29,66,0,0,1,'3 days',0,0,0,2,59,37,0,0,1,0,0,0,0,0,yes
pupil,0,0,8,Math,28,'',1,1210,0,0,3,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
parent,0,1,5,'Person and nature',39,'',2,2326,0,0,6,33,0,0,2,'1 month',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,0,Math,28,'',1,1836,0,0,3,67,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,0,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,1,0,0,0,0,0,no
student,0,8,8,Chemistry,26,'',3,110262,7,6,198,68,57,0,2,'1 month',2,29,17,4,14,7,0,1,2,0,0,0,0,0,yes
pupil,0,1,9,Math,28,'',3,4409,0,0,12,50,0,0,1,'3 days',0,0,0,2,33,20,0,0,0,0,0,0,0,0,no
pupil,0,1,0,'Person and nature',39,'',2,497,0,0,2,0,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,0,'Person and nature',39,'',2,503,0,0,2,0,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
other,1,8,1,German,41,'',1,21226,3,2,63,37,0,2,3,'3 months',5,67,50,1,68,49,0,1,4,0,0,0,0,0,yes
pupil,0,0,9,Physics,31,'',1,1050,0,0,2,100,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,8,Biology,32,'',4,37959,0,0,94,24,0,0,1,'3 days',0,0,0,4,4,2,0,0,1,0,0,0,0,0,no
other,0,1,0,Math,28,'',3,2215,0,0,6,67,0,0,1,'3 days',0,0,0,4,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Biology,32,'',3,8528,0,0,24,29,0,0,2,'1 month',0,0,0,4,42,26,0,0,1,0,0,0,0,0,no
other,1,3,0,'English Beginners',40,'',2,17771,0,0,70,14,0,0,3,'3 months',0,0,0,5,63,40,0,1,2,0,0,0,0,0,no
parent,0,1,0,'English Intermediate',30,'',1,19108,0,0,32,72,0,0,1,'3 days',0,0,0,1,13,7,0,0,1,0,0,0,0,0,no
pupil,0,9,5,History,34,'',6,15126,21,8,59,76,71,5,3,'3 months',21,90,75,3,42,24,6,1,2,0,0,0,0,0,yes
student,0,1,0,Chemistry,35,'',1,3771,0,0,11,36,0,2,2,'1 month',0,0,0,1,18,10,0,0,1,0,0,0,0,2,no
pupil,0,5,0,History,34,'',3,655,0,0,3,0,0,0,2,'1 month',0,0,0,3,0,0,0,0,1,0,0,0,0,0,no
parent,0,1,6,Math,28,'',2,1232,0,0,3,33,0,0,1,'3 days',0,0,0,3,0,0,0,0,1,0,0,0,0,0,no
pupil,0,0,0,Math,28,'',1,468,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
other,0,1,1,German,41,'',2,10209,0,0,23,74,0,1,3,'3 months',0,0,0,2,17,10,0,1,1,0,0,0,0,0,no
parent,0,2,2,Bulgarian,36,'',4,2165,0,0,7,0,0,0,3,'3 months',0,0,0,3,0,0,0,1,3,0,0,0,0,0,no
pupil,0,1,6,'Person and nature',39,'',1,1058,0,0,2,100,0,0,1,'3 days',0,0,0,1,100,100,0,0,1,0,0,0,0,0,no
other,1,1,2,Biology,32,'',1,27903,0,0,45,71,0,1,2,'1 month',0,0,0,2,13,7,0,0,2,0,0,0,0,0,no
student,1,1,0,Chemistry,35,'',2,9169,0,0,33,33,0,14,2,'1 month',0,0,0,2,15,7,6,0,2,0,0,0,0,0,no
pupil,0,1,8,Geography,37,'',5,1805,0,0,5,40,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,0,0,8,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,9,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Chemistry,26,'',1,2407,0,0,8,0,0,0,1,'3 days',0,0,0,1,25,14,0,0,1,0,0,0,0,0,no
pupil,0,1,8,Math,28,'',1,3062,0,0,7,57,0,0,1,'3 days',0,0,0,1,29,17,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Math,28,'',4,4335,0,0,11,45,0,0,1,'3 days',0,0,0,3,18,10,0,0,1,0,0,0,0,0,no
student,0,0,0,Math,28,'',1,1248,0,0,2,100,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,8,Math,28,'',2,2014,0,0,7,43,0,0,1,'3 days',0,0,0,3,0,0,0,0,1,0,0,0,0,0,no
pupil,1,5,7,History,34,'Person and nature',9,46698,8,8,172,36,50,0,2,'1 month',4,0,0,4,28,14,0,1,2,0,0,0,0,0,yes
pupil,0,1,9,Physics,31,'',1,4333,0,0,10,50,0,0,1,'3 days',0,0,0,2,40,25,0,0,1,0,0,0,0,0,no
pupil,0,0,6,'Person and nature',39,'',1,7509,0,0,19,42,0,0,1,'3 days',0,0,0,1,11,6,0,0,1,0,0,0,0,0,no
pupil,0,1,8,Geography,37,'',1,1771,0,0,6,17,0,0,1,'3 days',0,0,0,1,33,20,0,0,1,0,0,0,0,0,no
pupil,0,2,0,'English Beginners',40,'',6,10820,0,0,45,31,0,4,2,'1 month',0,0,0,6,49,28,3,0,1,0,0,0,0,0,no
pupil,0,6,0,Chemistry,26,'',2,2201,0,0,7,14,0,0,2,'1 month',0,0,0,2,0,0,0,0,1,0,0,0,0,2,no
pupil,0,1,0,Math,28,'',1,2186,0,0,4,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,9,6,Chemistry,26,'',6,70608,11,11,176,37,18,1,2,'1 month',8,0,0,6,53,33,0,1,2,0,0,0,0,0,yes
pupil,0,0,0,Math,28,'',1,3188,0,0,5,40,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Chemistry,26,'',3,5003,0,0,10,40,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,9,7,Math,28,'',7,16788,9,7,64,29,11,0,1,'3 days',14,44,29,3,16,8,0,1,2,0,0,0,0,0,yes
student,0,1,9,Biology,32,'',1,2875,0,0,7,0,0,0,1,'3 days',0,0,0,1,57,40,0,0,2,0,0,0,0,0,no
student,0,1,5,Bulgarian,36,'',2,2958,0,0,8,75,0,0,1,'3 days',0,0,0,4,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,0,Physics,31,'',2,542,0,0,3,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,0,Physics,31,'',2,2977,0,0,8,38,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,5,History,34,'',1,8927,0,0,27,89,0,0,1,'3 days',0,0,0,1,89,75,0,0,1,0,0,0,0,0,no
pupil,0,0,0,Chemistry,26,'',1,1168,0,0,2,0,0,1,1,'3 days',0,0,0,1,0,0,50,0,0,0,0,0,0,0,no
pupil,0,1,9,History,34,'',2,5713,0,0,15,53,0,0,2,'1 month',0,0,0,1,13,7,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Chemistry,26,'',2,6876,0,0,11,45,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Physics,31,'',2,5248,0,0,11,64,0,0,1,'3 days',0,0,0,1,55,38,0,0,1,0,0,0,0,0,no
other,0,0,9,Physics,31,'',1,139,0,0,1,0,0,0,2,'1 month',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Biology,32,'',2,3804,0,0,8,38,0,0,1,'3 days',0,0,0,1,25,14,0,0,1,0,0,0,0,0,no
pupil,1,1,0,Math,28,Music,3,3335,0,0,6,33,0,1,2,'1 month',0,0,0,2,0,0,16,0,1,0,0,0,0,0,no
pupil,0,1,9,Biology,32,'',1,1170,0,0,2,0,0,0,1,'3 days',0,0,0,1,100,100,0,0,1,0,0,0,0,0,no
pupil,0,1,0,Physics,31,'',3,1661,0,0,4,0,0,0,1,'3 days',0,0,0,1,50,33,0,0,1,0,0,0,0,0,no
pupil,0,1,0,Fun,29,'',4,5031,0,0,15,13,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
other,0,7,7,Physics,31,'',7,89914,4,4,200,84,75,0,2,'1 month',2,0,0,5,29,15,0,1,3,0,0,0,0,0,yes
pupil,0,4,6,'Person and nature',39,'',4,3867,0,0,14,7,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,0,4,9,Physics,31,'',2,10724,0,0,26,58,0,0,1,'3 days',0,0,0,1,77,63,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Physics,31,'',2,4451,0,0,13,31,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,0,8,Geography,37,'',1,621,0,0,3,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,7,Physics,31,'',3,8281,0,0,17,0,0,0,2,'1 month',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Physics,31,'',5,2109,0,0,9,11,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
parent,0,9,1,German,41,'',3,139920,26,8,367,70,12,0,3,'3 months',9,92,75,4,91,66,0,1,3,0,0,0,0,0,yes
student,0,1,0,Physics,31,'',1,5821,0,0,14,57,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
other,0,2,1,German,41,'',2,52436,0,0,112,77,0,0,2,'1 month',0,0,0,3,51,29,0,0,1,0,0,0,0,0,no
parent,0,1,7,History,34,'',2,3550,0,0,15,40,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
student,1,9,7,Math,28,'',2,27810,0,0,62,55,0,0,9,'15 days',0,0,0,5,19,11,0,0,3,0,0,0,0,0,yes
pupil,0,0,9,Physics,31,'',1,7246,0,0,15,93,0,0,1,'3 days',0,0,0,1,93,83,0,0,0,0,0,0,0,0,no
pupil,0,4,7,Math,28,'',2,1012,0,0,2,50,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Geography,37,'',1,1981,0,0,8,38,0,0,1,'3 days',0,0,0,2,25,14,0,0,1,0,0,0,0,0,no
pupil,0,0,9,History,34,'',1,6255,0,0,12,100,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,9,Chemistry,26,'',1,4169,0,0,9,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,0,0,Math,28,'',1,895,0,0,1,100,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
parent,0,0,9,Chemistry,26,'',1,682,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,8,Math,28,'',1,443,0,0,2,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,0,Biology,32,'',1,774,0,0,2,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
other,0,9,5,Geography,37,'',8,32438,0,0,75,75,0,0,2,'1 month',0,0,0,5,51,31,0,1,2,0,0,0,0,0,no
pupil,0,1,9,Biology,32,'',1,2428,0,0,4,25,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,0,Biology,32,'',1,2883,0,0,4,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,2,6,Math,28,'',5,7242,0,0,21,29,0,0,1,'3 days',0,0,0,5,0,0,0,0,1,0,0,0,0,0,no
student,0,1,7,Chemistry,26,'',1,1094,0,0,4,25,0,0,1,'3 days',0,0,0,1,75,50,0,0,1,0,0,0,0,0,no
other,0,9,2,German,41,'',3,28881,0,0,80,45,0,0,2,'1 month',0,0,0,3,49,28,0,0,2,0,0,0,0,0,no
pupil,0,0,0,Chemistry,26,'',1,1964,0,0,7,0,0,0,1,'3 days',0,0,0,1,29,17,0,0,0,0,0,0,0,0,no
pupil,0,1,6,Math,28,'',1,1288,0,0,4,25,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,0,6,Math,28,'',1,2464,0,0,5,100,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
student,0,3,1,German,41,'',3,41775,0,0,110,25,0,0,3,'3 months',0,0,0,4,15,8,0,1,2,0,0,0,0,0,no
pupil,0,1,8,Physics,31,'',1,774,0,0,2,100,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
other,0,4,0,'English Intermediate',30,'',2,11569,0,0,29,34,0,0,1,'3 days',0,0,0,2,45,27,0,0,1,0,0,0,0,0,no
pupil,1,4,3,German,41,'English Beginners',4,3574,0,0,12,25,0,0,3,'3 months',0,0,0,4,17,9,0,1,1,0,0,0,0,0,no
pupil,0,1,8,Math,28,'',2,657,0,0,2,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
student,0,0,4,'English Beginners',40,'',1,3260,0,0,13,8,0,0,2,'1 month',0,0,0,3,15,8,0,0,0,0,0,0,0,0,no
pupil,0,2,0,'English Intermediate',30,'',1,25968,0,0,45,73,0,0,2,'1 month',0,0,0,1,47,27,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Geography,37,'',1,1012,0,0,3,67,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,9,Chemistry,26,'',1,252,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
parent,0,9,1,German,41,'',5,77500,12,7,206,41,75,34,3,'3 months',5,67,43,6,63,37,10,1,4,0,0,0,0,3,yes
student,0,1,6,Bulgarian,36,'',2,11986,0,0,29,62,0,0,1,'3 days',0,0,0,3,66,38,0,0,1,0,0,0,0,0,no
pupil,0,1,8,Math,28,'',1,1084,0,0,2,50,0,0,3,'3 months',0,0,0,2,0,0,0,1,1,0,0,0,0,0,no
pupil,0,2,2,German,41,'',1,10063,0,0,25,16,0,0,1,'3 days',0,0,0,2,24,14,0,0,1,0,0,0,0,0,no
pupil,0,1,9,Physics,31,'',2,2359,0,0,7,14,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
other,0,3,5,Geography,37,'',12,58534,0,0,151,77,0,0,3,'3 months',0,0,0,7,38,23,0,1,2,0,0,0,0,0,no
pupil,0,1,6,Math,28,'',1,1621,0,0,5,20,0,0,1,'3 days',0,0,0,1,80,67,0,0,1,0,0,0,0,1,no
parent,0,1,0,Math,28,'',4,10430,0,0,32,16,0,1,1,'3 days',0,0,0,5,28,15,3,0,1,0,0,0,0,0,no
pupil,0,0,0,Math,28,'',1,1297,0,0,3,33,0,0,1,'3 days',0,0,0,1,67,50,0,0,0,0,0,0,0,0,no
student,0,0,9,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
student,0,0,9,Physics,31,'',1,388,0,0,3,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Math,28,'',3,2445,0,0,7,43,0,0,1,'3 days',0,0,0,3,0,0,0,0,1,0,0,0,0,0,no
other,0,1,8,Biology,32,'',2,21688,0,0,42,50,0,0,2,'1 month',0,0,0,3,24,14,0,0,2,0,0,1,2,0,no
pupil,0,1,0,Math,28,'',3,2846,0,0,11,9,0,0,1,'3 days',0,0,0,2,18,10,0,0,1,0,0,0,0,0,no
pupil,0,0,9,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
